data,year,Month,day,week,value
PM10,2014,1,1,1,169
PM10,2014,1,2,1,111
PM10,2014,1,3,1,77
PM10,2014,1,4,1,61
PM10,2014,1,5,2,55
PM10,2014,1,6,2,82
PM10,2014,1,7,2,99
PM10,2014,1,8,2,66
PM10,2014,1,9,2,7
PM10,2014,1,10,2,43
PM10,2014,1,11,2,68
PM10,2014,1,12,3,80
PM10,2014,1,13,3,12
PM10,2014,1,14,3,43
PM10,2014,1,15,3,83
PM10,2014,1,16,3,99
PM10,2014,1,17,3,100
PM10,2014,1,18,3,71
PM10,2014,1,19,4,35
PM10,2014,1,20,4,90
PM10,2014,1,21,4,54
PM10,2014,1,22,4,71
PM10,2014,1,23,4,54
PM10,2014,1,24,4,55
PM10,2014,1,25,4,45
PM10,2014,1,26,5,35
PM10,2014,1,27,5,45
PM10,2014,1,28,5,49
PM10,2014,1,29,5,52
PM10,2014,1,30,5,55
PM10,2014,1,31,5,78
ozone,2014,1,1,1,0.025
ozone,2014,1,2,1,0.01
ozone,2014,1,3,1,0.013
ozone,2014,1,4,1,0.018
ozone,2014,1,5,2,0.017
ozone,2014,1,6,2,0.013
ozone,2014,1,7,2,0.014
ozone,2014,1,8,2,0.019
ozone,2014,1,9,2,0.028
ozone,2014,1,10,2,0.014
ozone,2014,1,11,2,0.016
ozone,2014,1,12,3,0.023
ozone,2014,1,13,3,0.024
ozone,2014,1,14,3,0.019
ozone,2014,1,15,3,0.016
ozone,2014,1,16,3,0.016
ozone,2014,1,17,3,0.016
ozone,2014,1,18,3,0.024
ozone,2014,1,19,4,0.023
ozone,2014,1,20,4,0.022
ozone,2014,1,21,4,0.027
ozone,2014,1,22,4,0.015
ozone,2014,1,23,4,0.012
ozone,2014,1,24,4,0.01
ozone,2014,1,25,4,0.02
ozone,2014,1,26,5,0.03
ozone,2014,1,27,5,0.012
ozone,2014,1,28,5,0.016
ozone,2014,1,29,5,0.012
ozone,2014,1,30,5,0.023
ozone,2014,1,31,5,0.022
nitrogen_dioxide,2014,1,1,1,0.015
nitrogen_dioxide,2014,1,2,1,0.026
nitrogen_dioxide,2014,1,3,1,0.025
nitrogen_dioxide,2014,1,4,1,0.018
nitrogen_dioxide,2014,1,5,2,0.016
nitrogen_dioxide,2014,1,6,2,0.026
nitrogen_dioxide,2014,1,7,2,0.026
nitrogen_dioxide,2014,1,8,2,0.021
nitrogen_dioxide,2014,1,9,2,0.011
nitrogen_dioxide,2014,1,10,2,0.024
nitrogen_dioxide,2014,1,11,2,0.022
nitrogen_dioxide,2014,1,12,3,0.014
nitrogen_dioxide,2014,1,13,3,0.014
nitrogen_dioxide,2014,1,14,3,0.022
nitrogen_dioxide,2014,1,15,3,0.029
nitrogen_dioxide,2014,1,16,3,0.028
nitrogen_dioxide,2014,1,17,3,0.029
nitrogen_dioxide,2014,1,18,3,0.016
nitrogen_dioxide,2014,1,19,4,0.013
nitrogen_dioxide,2014,1,20,4,0.018
nitrogen_dioxide,2014,1,21,4,0.014
nitrogen_dioxide,2014,1,22,4,0.025
nitrogen_dioxide,2014,1,23,4,0.029
nitrogen_dioxide,2014,1,24,4,0.031
nitrogen_dioxide,2014,1,25,4,0.02
nitrogen_dioxide,2014,1,26,5,0.009
nitrogen_dioxide,2014,1,27,5,0.026
nitrogen_dioxide,2014,1,28,5,0.022
nitrogen_dioxide,2014,1,29,5,0.03
nitrogen_dioxide,2014,1,30,5,0.015
nitrogen_dioxide,2014,1,31,5,0.016
carbon_dioxide,2014,1,1,1,0.5
carbon_dioxide,2014,1,2,1,0.6
carbon_dioxide,2014,1,3,1,0.5
carbon_dioxide,2014,1,4,1,0.4
carbon_dioxide,2014,1,5,2,0.4
carbon_dioxide,2014,1,6,2,0.5
carbon_dioxide,2014,1,7,2,0.6
carbon_dioxide,2014,1,8,2,0.5
carbon_dioxide,2014,1,9,2,0.3
carbon_dioxide,2014,1,10,2,0.4
carbon_dioxide,2014,1,11,2,0.6
carbon_dioxide,2014,1,12,3,0.5
carbon_dioxide,2014,1,13,3,0.3
carbon_dioxide,2014,1,14,3,0.4
carbon_dioxide,2014,1,15,3,0.6
carbon_dioxide,2014,1,16,3,0.7
carbon_dioxide,2014,1,17,3,0.6
carbon_dioxide,2014,1,18,3,0.5
carbon_dioxide,2014,1,19,4,0.4
carbon_dioxide,2014,1,20,4,0.5
carbon_dioxide,2014,1,21,4,0.5
carbon_dioxide,2014,1,22,4,0.6
carbon_dioxide,2014,1,23,4,0.5
carbon_dioxide,2014,1,24,4,0.5
carbon_dioxide,2014,1,25,4,0.5
carbon_dioxide,2014,1,26,5,0.3
carbon_dioxide,2014,1,27,5,0.5
carbon_dioxide,2014,1,28,5,0.4
carbon_dioxide,2014,1,29,5,0.5
carbon_dioxide,2014,1,30,5,0.5
carbon_dioxide,2014,1,31,5,0.6
sulfur_dioxide,2014,1,1,1,0.007
sulfur_dioxide,2014,1,2,1,0.004
sulfur_dioxide,2014,1,3,1,0.004
sulfur_dioxide,2014,1,4,1,0.005
sulfur_dioxide,2014,1,5,2,0.004
sulfur_dioxide,2014,1,6,2,0.006
sulfur_dioxide,2014,1,7,2,0.005
sulfur_dioxide,2014,1,8,2,0.005
sulfur_dioxide,2014,1,9,2,0.004
sulfur_dioxide,2014,1,10,2,0.007
sulfur_dioxide,2014,1,11,2,0.006
sulfur_dioxide,2014,1,12,3,0.007
sulfur_dioxide,2014,1,13,3,0.005
sulfur_dioxide,2014,1,14,3,0.007
sulfur_dioxide,2014,1,15,3,0.009
sulfur_dioxide,2014,1,16,3,0.008
sulfur_dioxide,2014,1,17,3,0.007
sulfur_dioxide,2014,1,18,3,0.006
sulfur_dioxide,2014,1,19,4,0.005
sulfur_dioxide,2014,1,20,4,0.006
sulfur_dioxide,2014,1,21,4,0.006
sulfur_dioxide,2014,1,22,4,0.005
sulfur_dioxide,2014,1,23,4,0.006
sulfur_dioxide,2014,1,24,4,0.005
sulfur_dioxide,2014,1,25,4,0.005
sulfur_dioxide,2014,1,26,5,0.005
sulfur_dioxide,2014,1,27,5,0.004
sulfur_dioxide,2014,1,28,5,0.004
sulfur_dioxide,2014,1,29,5,0.005
sulfur_dioxide,2014,1,30,5,0.004
sulfur_dioxide,2014,1,31,5,0.005
PM10,2015,1,1,1,32
PM10,2015,1,2,1,28
PM10,2015,1,3,1,43
PM10,2015,1,4,2,68
PM10,2015,1,5,2,93
PM10,2015,1,6,2,46
PM10,2015,1,7,2,32
PM10,2015,1,8,2,42
PM10,2015,1,9,2,92
PM10,2015,1,10,2,71
PM10,2015,1,11,3,45
PM10,2015,1,12,3,47
PM10,2015,1,13,3,67
PM10,2015,1,14,3,66
PM10,2015,1,15,3,91
PM10,2015,1,16,3,118
PM10,2015,1,17,3,35
PM10,2015,1,18,4,32
PM10,2015,1,19,4,91
PM10,2015,1,20,4,59
PM10,2015,1,21,4,64
PM10,2015,1,22,4,58
PM10,2015,1,23,4,69
PM10,2015,1,24,4,54
PM10,2015,1,25,5,57
PM10,2015,1,26,5,38
PM10,2015,1,27,5,55
PM10,2015,1,28,5,40
PM10,2015,1,29,5,48
PM10,2015,1,30,5,37
PM10,2015,1,31,5,31
PM2_5,2015,1,1,1,10
PM2_5,2015,1,2,1,19
PM2_5,2015,1,3,1,31
PM2_5,2015,1,4,2,45
PM2_5,2015,1,5,2,66
PM2_5,2015,1,6,2,26
PM2_5,2015,1,7,2,10
PM2_5,2015,1,8,2,21
PM2_5,2015,1,9,2,60
PM2_5,2015,1,10,2,47
PM2_5,2015,1,11,3,31
PM2_5,2015,1,12,3,31
PM2_5,2015,1,13,3,45
PM2_5,2015,1,14,3,43
PM2_5,2015,1,15,3,51
PM2_5,2015,1,16,3,76
PM2_5,2015,1,17,3,19
PM2_5,2015,1,18,4,24
PM2_5,2015,1,19,4,51
PM2_5,2015,1,20,4,21
PM2_5,2015,1,21,4,36
PM2_5,2015,1,22,4,32
PM2_5,2015,1,23,4,45
PM2_5,2015,1,24,4,46
PM2_5,2015,1,25,5,53
PM2_5,2015,1,26,5,40
